tcga_id,TP53status,hypermutator,signature2_13
TCGA-55-7725,TP53_WT,0,0.44
TCGA-50-8459,TP53_WT,0,0.44
TCGA-49-4506,TP53_WT,0,0.43
TCGA-55-8203,TP53_WT,0,0.427350196
TCGA-64-5774,TP53_WT,0,0.40923021
TCGA-05-4426,TP53_Mutant,0,0.4
TCGA-55-8512,TP53_WT,0,0.4
TCGA-MP-A5C7,TP53_WT,0,0.4
TCGA-86-7701,TP53_Mutant,0,0.385007973
TCGA-55-7815,TP53_WT,0,0.376188421
TCGA-MP-A4T7,TP53_WT,0,0.37
TCGA-97-7553,TP53_Mutant,0,0.37
TCGA-73-4676,TP53_Mutant,0,0.37
TCGA-75-6205,TP53_WT,0,0.37
TCGA-55-7284,TP53_WT,0,0.37
TCGA-55-7728,TP53_WT,0,0.36
TCGA-MP-A4TD,TP53_WT,0,0.36
TCGA-73-4675,TP53_WT,0,0.36
TCGA-50-8457,TP53_WT,0,0.34
TCGA-50-5055,TP53_WT,0,0.33
TCGA-73-7498,TP53_WT,0,0.33
TCGA-67-3773,TP53_WT,0,0.33
TCGA-44-6146,TP53_WT,0,0.33
TCGA-69-7763,TP53_WT,0,0.3
TCGA-05-5429,TP53_WT,0,0.3
TCGA-44-A47B,TP53_WT,0,0.3
TCGA-69-7761,TP53_WT,0,0.3
TCGA-62-A46P,TP53_WT,0,0.283513364
TCGA-86-7714,TP53_WT,0,0.27
TCGA-78-7540,TP53_Mutant,0,0.27
TCGA-MP-A4TE,TP53_WT,0,0.27
TCGA-67-3774,TP53_WT,0,0.27
TCGA-05-4396,TP53_Mutant,0,0
TCGA-53-7813,TP53_WT,0,0
TCGA-50-5932,TP53_WT,0,0
TCGA-50-5942,TP53_WT,0,0
TCGA-55-8090,TP53_WT,0,0
TCGA-69-8254,TP53_WT,0,0
TCGA-91-A4BD,TP53_WT,0,0
TCGA-95-A4VP,TP53_WT,0,0
TCGA-05-4433,TP53_Mutant,0,0
TCGA-55-6543,TP53_WT,0,0
TCGA-55-6986,TP53_WT,0,0
TCGA-55-6978,TP53_WT,0,0
TCGA-55-8091,TP53_WT,0,0
TCGA-97-7552,TP53_WT,0,0
TCGA-55-8619,TP53_Mutant,0,0
TCGA-62-A46Y,TP53_Mutant,0,0
TCGA-38-A44F,TP53_WT,0,0
TCGA-44-6148,TP53_WT,0,0
TCGA-75-7030,TP53_WT,0,0
TCGA-75-6203,TP53_WT,0,0
TCGA-78-7163,TP53_WT,0,0
TCGA-55-6984,TP53_WT,0,0
TCGA-78-8648,TP53_WT,0,0
TCGA-55-8513,TP53_WT,0,0
TCGA-86-A4P8,TP53_WT,0,0
TCGA-4B-A93V,TP53_Mutant,0,0
TCGA-L9-A8F4,TP53_Mutant,0,0
TCGA-49-AAQV,TP53_Mutant,0,0
TCGA-49-AARQ,TP53_Mutant,0,0
TCGA-L9-A5IP,TP53_Mutant,0,0
TCGA-49-AARN,TP53_Mutant,0,0
TCGA-L9-A7SV,TP53_Mutant,0,0
TCGA-49-AAR9,TP53_Mutant,0,0
TCGA-49-AAR3,TP53_Mutant,0,0
TCGA-73-A9RS,TP53_Mutant,0,0
TCGA-49-AAR4,TP53_Mutant,0,0
TCGA-49-AARE,TP53_Mutant,0,0
TCGA-49-AARR,TP53_WT,0,0
TCGA-NJ-A7XG,TP53_WT,0,0
TCGA-49-AARO,TP53_WT,0,0
TCGA-MP-A4TJ,TP53_WT,0,0
TCGA-S2-AA1A,TP53_WT,,
TCGA-99-AA5R,TP53_WT,,
